"case"	"taste"	"acetic"	"h2s"	"lactic"
1	21.597	4.336	2.982	0.786
2	15.375	5.407	4.828	1.443
3	36.293	5.440	5.404	1.670
4	48.074	5.719	7.167	1.646
5	5.420	4.705	4.156	1.099
6	20.360	5.792	7.643	0.967
7	36.514	6.229	9.678	1.345
8	23.098	6.172	8.380	1.764
9	19.467	5.002	3.231	1.282
10	25.468	5.429	3.145	1.651
11	36.250	5.829	6.720	1.533
12	56.046	6.084	6.956	1.853
13	4.176	4.583	2.344	1.131
14	25.042	5.339	5.014	1.328
15	56.027	6.165	6.376	1.426
16	38.167	6.460	9.553	1.807
17	18.711	4.912	4.321	1.157
18	2.595	5.340	3.986	1.528
19	16.780	5.167	5.370	1.544
20	34.418	5.409	8.474	1.910
21	18.046	4.494	4.716	1.200
22	13.861	5.514	4.510	1.257
23	26.623	5.508	9.295	1.398
24	57.575	5.687	10.356	2.095
25	18.523	5.374	3.365	1.369
26	10.147	6.124	3.911	1.518
27	24.505	6.846	7.507	1.615
28	0.689	5.217	4.169	1.357
29	13.010	5.972	6.254	1.235
30	1.993	6.271	4.536	1.182
